Ciudad de Mexico,Acapulco,Campeche,Cancun,Chichen Itza,Chihuahua,Cozumel,Cuernavaca,Guadalajara,Hermosillo,Isla Mujeres,Ixtapa Zihuatanejo,La Paz,Los Cabos,Merida,Monterrey,Morelia,Nuevo Vallarta,Oaxaca de Juarez,Playa del Carmen,Puebla,Puerto Vallarta,Queretaro,San Luis Potosi,San Miguel de Allende,Taxco,Tequila,Tlaxcala,Tuxtla Gutierrez,Villahermosa,Zacatecas
45,3,1,7,0,3,1,1,9,7,1,0,0,5,14,11,7,0,1,2,17,3,4,16,0,2,0,0,0,4,1
47,4,1,7,0,1,0,2,7,3,1,0,0,6,8,7,6,1,3,3,12,5,10,5,0,1,0,2,1,5,1
44,6,2,6,0,3,1,1,14,8,1,1,2,1,9,11,4,0,0,2,16,2,9,12,0,2,0,0,1,9,1
50,4,0,8,0,3,0,0,11,4,0,1,0,4,7,14,5,0,3,3,16,3,4,15,0,0,0,1,2,6,0
41,4,0,6,0,4,1,0,7,3,0,1,0,6,17,12,2,0,0,2,13,0,4,13,0,0,1,2,0,5,1
44,4,2,5,1,2,1,1,8,3,0,0,0,0,14,14,5,2,0,0,13,0,11,16,0,0,0,1,1,5,4
51,0,3,10,0,3,1,0,16,2,1,2,0,2,14,12,4,0,4,1,9,2,5,11,0,0,1,1,0,5,3
45,2,1,8,0,1,1,0,11,4,1,1,2,2,7,10,4,0,2,1,18,1,4,24,0,2,0,0,0,7,1
56,5,0,6,0,2,2,5,2,4,0,0,1,5,12,11,2,1,0,1,16,4,10,13,1,0,0,1,1,4,1
44,4,3,7,1,1,1,1,10,3,0,1,2,2,7,11,11,0,2,1,12,1,6,15,0,0,1,2,1,3,2
37,2,0,3,0,5,0,1,9,2,0,0,1,1,16,11,4,0,0,2,14,2,3,9,0,0,0,1,2,4,4
50,2,0,2,0,3,1,4,4,6,0,1,0,1,7,12,3,0,1,0,9,1,2,12,0,0,0,2,0,2,2
52,5,0,5,0,3,1,0,11,1,0,0,2,3,3,11,4,1,4,0,11,4,8,10,0,0,0,0,0,5,2
45,1,2,8,0,1,2,0,7,3,0,0,0,2,12,13,4,2,2,0,9,1,13,8,0,0,0,1,0,6,0
47,0,1,3,0,6,0,1,11,4,0,0,2,7,4,11,3,1,1,3,19,3,7,4,0,0,1,1,0,6,2
61,2,1,2,0,2,0,1,12,1,0,0,0,2,9,11,4,0,3,1,5,2,5,11,0,0,0,3,1,4,1
51,1,0,3,0,1,0,0,8,3,0,0,0,2,13,12,3,0,1,1,10,3,5,14,1,1,0,0,0,3,1
46,4,1,9,0,2,0,2,6,4,0,0,2,3,8,14,3,0,2,2,12,1,5,9,0,0,1,0,1,7,1
51,1,1,4,0,5,0,2,8,5,0,0,0,2,6,9,2,0,0,1,15,2,6,9,0,0,0,0,0,3,3
49,4,1,3,0,1,1,1,6,1,0,0,0,0,5,11,3,0,0,1,17,1,10,7,0,0,0,1,2,0,0
49,1,0,3,0,1,2,0,19,2,1,0,1,1,9,7,6,0,2,0,14,2,4,9,1,0,0,0,0,3,1
45,6,1,7,0,3,0,0,8,3,0,1,1,0,6,7,2,1,1,2,8,2,13,9,0,1,0,0,0,4,2
41,1,1,1,1,0,0,1,18,1,1,0,0,2,6,9,4,2,2,1,17,3,6,15,0,0,0,1,0,3,2
49,5,0,4,0,5,0,2,15,2,0,1,3,3,7,5,6,1,2,0,13,0,6,17,0,0,0,0,0,5,5
49,2,0,4,0,4,0,1,6,1,0,0,2,0,5,12,8,0,0,0,9,2,9,5,0,0,1,1,0,2,3
53,2,1,3,0,2,0,1,7,2,0,0,1,0,4,6,5,0,1,1,13,2,8,6,0,0,0,0,0,3,1
52,4,0,4,0,2,0,1,8,1,1,1,2,2,3,4,6,0,0,1,6,5,5,8,0,1,1,0,1,3,1
47,6,0,3,0,2,2,3,10,4,0,2,2,1,2,5,2,0,3,2,11,0,7,5,1,0,0,2,0,1,1
47,2,1,2,0,1,0,0,14,1,0,0,1,0,4,12,8,1,3,0,11,1,8,5,1,0,0,0,0,2,1
58,6,2,2,0,2,0,1,9,0,1,1,1,1,7,8,4,1,1,0,10,0,3,15,0,0,0,0,0,3,1
39,2,1,4,0,4,0,0,12,1,0,0,0,0,5,10,9,2,4,0,4,1,3,7,0,0,2,0,0,5,2
43,4,2,2,0,4,0,1,14,0,0,0,1,2,2,14,7,0,2,0,13,1,3,5,1,0,0,1,1,1,0
45,2,2,7,0,1,1,1,9,3,0,1,2,2,4,8,2,0,1,0,8,3,4,6,1,0,0,0,0,3,0
42,2,0,2,0,4,1,1,16,4,1,0,3,1,1,7,8,0,1,0,11,2,4,8,0,0,0,0,0,5,0
35,5,2,4,0,4,0,3,6,4,0,0,1,2,8,8,6,0,1,2,6,1,3,12,0,1,0,0,0,0,1
38,8,2,7,0,5,0,2,8,0,0,0,0,0,5,8,2,0,1,0,5,0,6,12,0,0,0,0,0,6,0
48,4,1,4,0,7,1,2,5,2,0,1,0,1,2,10,1,0,1,1,5,3,7,11,1,0,0,1,0,3,0
54,11,0,4,0,3,0,1,6,3,1,1,1,2,3,14,5,0,1,0,12,0,3,6,0,0,0,1,0,3,4
45,3,0,2,0,3,0,4,3,2,0,1,0,1,3,7,1,0,0,0,7,0,6,9,0,0,0,0,0,5,3
44,2,1,10,0,6,0,2,6,1,0,1,3,0,3,9,4,0,1,0,9,2,3,7,1,1,0,1,0,2,1
47,6,1,6,0,2,0,0,12,2,1,1,0,1,5,11,5,0,1,1,10,0,2,9,1,0,0,0,2,1,1
55,6,1,3,0,2,0,0,7,3,0,0,0,0,4,9,3,0,1,1,13,0,5,7,0,0,0,0,0,5,1
40,4,0,3,0,4,1,1,11,1,0,0,0,2,3,7,3,0,0,1,9,1,6,6,0,0,0,0,0,5,3
56,2,1,3,0,4,0,1,9,3,0,2,3,1,3,10,3,0,4,0,8,4,8,2,2,0,0,0,0,4,0
43,5,0,2,0,3,0,0,5,1,1,0,1,2,2,9,2,2,1,1,11,1,8,9,0,0,0,1,0,2,3
39,5,0,2,0,9,0,2,6,0,0,1,0,2,5,5,5,1,2,1,8,1,2,5,0,0,0,0,0,2,0
52,5,1,4,0,1,0,2,12,0,0,0,0,0,2,11,2,1,2,0,5,1,7,6,0,0,0,0,0,2,1
47,8,0,5,0,4,0,1,10,1,0,2,0,2,1,11,3,1,2,0,4,1,5,5,0,1,0,1,0,1,3
46,2,0,0,0,2,0,0,3,3,0,0,0,0,4,6,8,1,3,1,8,0,3,6,1,0,0,1,0,6,2
61,4,0,3,0,5,0,1,8,1,0,1,1,0,1,8,1,0,3,0,5,3,7,4,0,0,0,0,0,4,1
48,4,0,6,0,4,0,2,8,1,0,0,0,1,4,11,4,0,3,1,8,1,3,2,0,0,0,1,1,2,1
35,4,0,1,0,3,1,1,9,2,1,1,0,1,5,3,4,0,2,0,3,0,7,11,2,0,0,0,0,2,1
44,11,1,1,0,1,0,1,7,0,0,0,0,2,2,12,5,0,0,0,6,1,7,9,0,0,0,2,1,2,1
44,7,0,3,0,0,0,2,12,1,0,1,1,0,2,6,4,1,1,0,4,0,1,6,0,0,0,1,0,2,3
51,6,0,5,0,4,1,0,9,3,0,0,0,1,4,7,5,0,1,0,7,0,2,9,0,0,0,2,0,0,2
42,7,0,3,0,4,0,2,7,2,0,0,1,0,5,15,4,0,2,1,9,0,4,11,1,0,0,1,1,0,3
50,4,0,2,0,6,0,4,10,3,0,1,1,0,2,12,7,0,1,1,4,0,7,8,0,0,0,1,0,1,0
43,6,0,7,0,5,0,1,10,2,0,0,1,1,2,13,1,0,3,1,6,2,7,6,0,1,1,0,0,3,4
47,3,0,0,0,3,0,2,7,4,0,0,0,2,1,7,5,1,4,0,5,1,3,11,0,0,0,0,0,1,3
34,5,1,4,0,3,0,2,10,2,0,3,0,0,5,8,2,0,1,0,7,1,5,7,0,0,0,0,1,4,0
42,2,0,2,0,6,0,2,13,1,0,0,0,0,4,10,2,0,0,0,7,0,4,7,0,0,0,0,0,3,2
44,3,0,0,0,11,0,1,7,0,0,0,0,0,5,13,0,0,0,2,2,1,4,9,0,0,0,1,0,2,4
52,6,0,2,0,2,0,1,7,1,0,1,0,1,1,7,4,0,2,1,7,3,5,4,0,2,1,0,0,2,3
57,3,1,2,0,12,0,1,13,3,0,0,0,1,3,13,7,0,0,0,5,0,7,9,0,1,0,1,0,4,2
46,1,1,1,0,7,0,0,5,1,1,1,0,0,4,12,1,0,0,1,9,1,5,13,0,0,0,0,0,2,1
