AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,NACIONAL
4,35,2,1,12,8,124,0,1,3,6,30,13,6,148,13,9,5,4,13,21,6,7,1,30,22,23,4,6,29,9,1,596
3,40,0,4,14,13,136,3,0,4,8,22,12,4,157,8,8,6,4,11,27,2,7,1,25,19,22,10,10,34,10,1,625
3,22,1,3,14,11,120,6,1,3,2,23,12,6,155,3,5,2,6,13,26,7,9,2,28,29,18,2,5,32,7,1,577
2,35,0,2,15,11,120,3,0,0,7,22,11,14,151,4,7,6,3,18,26,2,9,2,24,22,29,7,0,48,9,1,610
2,33,0,1,11,6,138,1,3,3,6,25,13,11,164,8,14,5,2,17,28,7,7,4,30,19,12,9,10,34,8,1,632
2,37,1,2,15,14,130,2,1,1,2,24,9,21,160,8,14,3,4,16,40,5,12,6,37,28,27,6,9,42,11,1,690
3,32,1,4,27,12,123,2,0,4,7,29,7,12,148,6,15,6,3,14,45,6,7,1,32,21,20,6,9,34,11,3,650
4,32,2,3,25,11,127,5,1,1,6,23,16,18,173,9,7,3,8,9,32,5,4,6,45,23,18,7,7,40,4,2,676
4,33,3,3,20,8,123,3,0,2,9,21,5,24,140,14,9,6,10,16,41,9,6,5,32,30,18,5,14,34,6,2,655
2,26,3,3,24,12,113,6,1,4,13,25,3,18,129,9,10,0,3,6,24,4,8,2,34,42,17,3,5,40,5,2,596
5,40,0,3,11,16,124,4,2,4,17,19,5,19,154,10,13,8,8,14,39,8,10,8,29,28,14,2,7,38,7,1,667
4,32,0,8,26,15,114,8,2,2,17,26,12,23,154,10,9,4,3,18,39,7,13,6,32,29,20,6,7,34,4,3,687
2,36,0,9,29,18,133,7,0,3,14,27,15,18,147,13,12,7,5,18,33,3,6,6,39,40,20,7,17,44,5,5,738
4,24,1,3,29,10,110,4,0,2,12,23,9,26,163,10,9,5,7,26,40,7,8,4,24,35,18,7,11,46,9,3,689
6,33,0,2,17,9,119,6,2,6,21,25,12,13,150,11,12,4,7,24,38,2,8,4,27,48,19,9,16,44,10,2,706
3,28,2,2,16,16,120,9,1,4,20,21,10,26,158,11,9,4,5,15,26,8,6,8,26,42,13,5,11,37,8,2,672
7,34,2,6,27,10,128,4,1,7,16,21,8,29,143,10,9,1,11,20,45,7,6,4,52,46,17,11,8,37,5,1,733
2,30,2,7,18,9,129,5,1,4,23,30,9,15,134,16,10,1,11,28,47,9,7,3,31,37,18,6,8,38,9,0,697
3,35,4,5,15,14,114,8,1,6,15,24,15,29,145,18,12,8,6,13,44,5,8,2,31,40,17,19,6,40,13,4,719
3,25,4,6,17,10,85,6,1,6,23,18,11,19,159,20,7,4,13,20,42,7,7,1,36,51,22,16,7,51,13,3,713
5,22,1,4,23,11,124,8,2,6,25,22,12,26,156,18,11,5,12,23,50,7,6,7,35,48,27,14,9,49,6,2,776
4,32,1,9,16,12,113,12,2,9,18,29,13,34,141,25,10,7,13,23,52,5,6,2,35,40,16,19,6,37,8,5,754
6,25,1,5,18,8,100,3,1,2,27,23,12,20,122,12,7,6,12,13,48,7,6,2,34,48,23,23,9,38,10,6,677
5,27,1,5,12,8,98,6,3,4,26,32,10,25,133,17,9,9,10,11,31,6,6,4,24,35,20,20,8,42,3,1,651
4,15,2,10,19,6,75,5,4,1,26,14,8,29,108,16,3,12,7,8,42,5,5,7,31,55,12,9,15,53,9,2,617
4,25,0,4,14,7,98,15,3,3,16,18,10,31,120,11,10,9,15,20,55,3,9,7,40,34,24,18,13,45,10,2,693
1,23,1,5,19,11,76,8,2,3,30,30,9,23,121,9,8,3,13,20,54,6,9,7,40,46,20,29,4,31,7,1,669
2,25,1,11,21,7,74,6,4,4,25,17,15,29,102,11,10,6,11,21,33,5,6,6,39,63,14,21,5,35,12,2,643
6,27,1,9,25,7,62,14,1,5,26,16,13,30,103,10,4,5,14,17,34,3,9,13,33,60,14,14,8,43,21,1,648
5,27,1,7,13,8,64,8,5,5,26,17,9,30,93,8,1,8,10,12,30,3,11,9,34,56,24,24,6,53,17,2,626
10,27,1,12,17,10,74,13,1,6,22,25,18,21,95,10,9,1,22,17,34,5,10,7,28,51,26,28,14,42,12,3,671
4,24,3,19,14,5,89,11,3,2,31,28,8,23,107,20,3,6,13,14,35,9,7,5,38,45,30,35,10,51,9,0,701
